[2026-03-27T19:26:43.778Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=61 | new_events=0 | alerts=3
[2026-03-27T19:27:22.786Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=19 | new_events=0 | alerts=3
[2026-03-27T19:30:01.265Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/3/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=89 | new_events=0 | alerts=3
[2026-03-27T19:35:01.079Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=159 | new_events=0 | alerts=2
[2026-03-27T19:40:01.549Z] Aegis monitor | pairs=6 | USDT-PAXG=value-pullback-watch/1/5/above-value-band/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=166 | new_events=0 | alerts=2
[2026-03-27T19:45:01.661Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=156 | new_events=0 | alerts=2
[2026-03-27T19:50:01.744Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/bearish-signal-close/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=157 | new_events=0 | alerts=2
[2026-03-27T19:55:01.850Z] Aegis monitor | pairs=6 | USDT-PAXG=liquidity-screen/4/5/volume-too-light/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=154 | new_events=0 | alerts=2
[2026-03-27T20:00:02.000Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-lower-wick/volume-too-light | USDT-BTC=regime-blocked/0/5/regime-fail | new_states=159 | new_events=0 | alerts=3
[2026-03-27T20:05:01.081Z] Aegis monitor | pairs=6 | USDT-PAXG=reclaim-watch/2/5/weak-close-location/volume-too-light | USDT-BTC=regime-blocked/2/5/regime-fail | new_states=172 | new_events=0 | alerts=2
[2026-03-27T20:10:01.541Z] Aegis monitor | pairs=6 | USDT-PAXG=value-pullback-watch/1/5/above-value-band/volume-too-light | USDT-BTC=regime-blocked/1/5/regime-fail | new_states=159 | new_events=0 | alerts=2
